CustomerID,CustomerName,Phone,City
CU001,Arun,9876600001,Chennai
CU002,Priya,9876600002,Madurai
CU003,Karthik,9876600003,Coimbatore
CU004,Divya,9876600004,Salem
CU005,Vignesh,9876600005,Trichy
CU006,Meena,9876600006,Erode
CU007,Suresh,9876600007,Vellore
CU008,Anitha,9876600008,Tirunelveli
CU009,Rahul,9876600009,Chennai
CU010,Deepa,9876600010,Madurai
CU011,Kavin,9876600011,Coimbatore
CU012,Nisha,9876600012,Salem
CU013,Ajith,9876600013,Trichy
CU014,Keerthana,9876600014,Erode
CU015,Harish,9876600015,Vellore
CU016,Lavanya,9876600016,Tirunelveli
CU017,Praveen,9876600017,Chennai
CU018,Aarthi,9876600018,Madurai
CU019,Ramesh,9876600019,Coimbatore
CU020,Swathi,9876600020,Salem
CU021,Gokul,9876600021,Trichy
CU022,Pooja,9876600022,Erode
CU023,Saravanan,9876600023,Vellore
CU024,Gayathri,9876600024,Tirunelveli
CU025,Dinesh,9876600025,Chennai
CU026,Nandhini,9876600026,Madurai
CU027,Vijay,9876600027,Coimbatore
CU028,Sneha,9876600028,Salem
CU029,Bharath,9876600029,Trichy
CU030,Akshaya,9876600030,Erode
CU031,Manoj,9876600031,Vellore
CU032,Shalini,9876600032,Tirunelveli
CU033,Kishore,9876600033,Chennai
CU034,Janani,9876600034,Madurai
CU035,Ashwin,9876600035,Coimbatore
CU036,Preethi,9876600036,Salem
CU037,Sathish,9876600037,Trichy
CU038,Madhumitha,9876600038,Erode
CU039,Yogesh,9876600039,Vellore
CU040,Harini,9876600040,Tirunelveli
CU041,Mohan,9876600041,Chennai
CU042,Ritika,9876600042,Madurai
CU043,Balaji,9876600043,Coimbatore
CU044,Varsha,9876600044,Salem
CU045,Naveen,9876600045,Trichy
CU046,Monika,9876600046,Erode
CU047,Kumar,9876600047,Vellore
CU048,Revathi,9876600048,Tirunelveli
CU049,Sanjay,9876600049,Chennai
CU050,Pavithra,9876600050,Madurai
